Index,GPS time,EKF Temp,EKF Tick,EKF Raw Z Gyro,EKF Raw X Gyro,EKF Raw Y Gyro,EKF Raw X Accel,EKF Raw Y Accel,EKF Raw Z Accel,EKF Tick SF,EKF Gyro SF,EKF Gyro Bias,EKF Tick SF Calib,EKF Gyro SF Calib,EKF Gyro B Calib
240,,32.27,,3.70,-0.63,-0.37,-8.66,-2.74,2.93,,,,,,
241,,32.27,,2.63,-1.22,0.90,-9.36,-2.85,3.20,,,,,,
242,2018:522672.000,,,,,,,,,,,,,,
243,2018:522672.000,32.27,,-1.95,1.90,0.86,-9.80,-2.84,3.30,,,,,,
244,,32.26,,2.12,-2.88,-13.36,-10.38,-3.29,3.47,,,,,,
245,,32.26,,2.14,1.63,-12.07,-8.84,-2.14,2.87,,,,,,
246,2018:522673.000,32.27,,-2.06,-2.30,4.98,-9.63,-2.39,3.50,,,,,,
247,2018:522673.000,,,,,,-9.92,-2.43,3.42,,,,,,
248,,32.27,,2.22,0.14,-4.84,-10.01,-1.44,2.95,,,,,,
249,,32.27,,-25.65,2.59,-0.94,-8.99,-2.98,3.31,,,,,,
250,2018:522674.000,32.26,,-9.60,3.51,-8.08,-9.54,-2.80,3.03,,,,,,
251,2018:522674.000,,,,,,,,,,,,,,
252,2018:522674.000,32.27,,0.59,-2.44,4.04,-9.22,-2.81,3.18,,,,,,
253,,32.28,,12.41,3.47,-15.45,-4.00,-0.76,1.27,,,,,,
254,,32.27,,47.75,-2.59,21.59,-7.21,-2.56,1.84,,,,,,
255,2018:522675.000,32.27,,-12.04,23.34,6.12,-7.61,-1.90,2.41,,,,,,
256,2018:522675.000,,,,,,-10.75,-2.28,3.57,,,,,,
257,,32.28,,-3.51,0.04,-0.21,-9.75,-2.65,3.25,,,,,,
258,,32.29,,-0.49,0.26,2.67,-9.66,-2.21,3.06,,,,,,
259,2018:522676.000,32.26,,1.72,-1.04,-2.34,-9.47,-2.16,2.92,,,,,,
260,2018:522676.000,,,,,,,,,,,,,,
261,2018:522676.000,32.28,,0.74,-0.47,-0.11,-9.53,-1.87,2.89,,,,,,
262,,32.29,,1.15,-0.56,-2.23,-9.66,-2.18,3.04,,,,,,
263,2018:522677.000,32.28,,0.28,-0.35,-0.45,-9.49,-2.10,2.97,,,,,,
264,2018:522677.000,,,,,,,,,,,,,,
265,2018:522677.000,32.28,,0.36,-0.21,0.16,-9.56,-2.10,2.96,,,,,,
266,,32.28,,0.51,0.11,-0.57,-9.45,-2.25,3.05,,,,,,
267,,32.28,,0.27,-0.16,0.37,-9.46,-2.28,3.02,,,,,,
268,2018:522678.000,32.29,,0.25,-0.58,1.31,-9.54,-2.31,3.08,,,,,,
269,2018:522678.000,,,,,,,,,,,,,,
270,,32.28,,0.63,-0.65,-0.19,-9.52,-2.36,3.06,,,,,,
271,,32.29,,0.37,0.50,-1.25,-9.26,-2.74,3.18,,,,,,
272,2018:522679.000,32.28,,1.15,-1.03,-2.53,-9.45,-2.77,3.23,,,,,,
273,2018:522679.000,,,,,,,,,,,,,,
274,2018:522679.000,32.28,,0.15,0.21,-0.30,-9.33,-2.71,3.17,,,,,,
275,,32.29,,0.30,-0.31,0.08,-9.27,-2.85,3.11,,,,,,
276,,32.28,,0.95,-0.45,-0.81,-9.18,-3.48,3.36,,,,,,
277,2018:522680.000,,,,,,,,,,,,,,
278,2018:522680.000,32.27,,0.72,-0.38,0.29,-9.12,-3.58,3.40,,,,,,
279,,32.28,,-0.02,0.25,-0.09,-9.22,-3.19,3.25,,,,,,
280,,32.28,,0.42,-0.09,-0.72,-9.38,-2.93,3.12,,,,,,
281,2018:522681.000,32.29,,0.41,-1.04,1.02,-9.30,-2.77,3.13,,,,,,
282,2018:522681.000,,,,,,-9.28,-2.76,3.14,,,,,,
283,,32.28,,1.12,-2.25,0.16,-9.13,-3.35,3.26,,,,,,
284,,32.28,,0.86,-2.79,0.43,-9.03,-3.69,3.49,,,,,,
285,2018:522682.000,32.28,,2.05,-3.99,-2.15,-8.98,-3.81,3.47,,,,,,
286,2018:522682.000,,,,,,,,,,,,,,
287,2018:522682.000,32.29,,1.98,-5.28,-2.21,-9.04,-3.85,3.46,,,,,,
288,,32.29,,2.09,-6.00,-2.23,-8.93,-3.40,3.47,,,,,,
289,2018:522683.000,32.28,,1.32,-4.91,-0.15,-9.36,-3.36,3.77,,,,,,
290,2018:522683.000,,,,,,,,,,,,,,
291,2018:522683.000,32.29,,2.66,-6.53,-3.16,-8.76,-3.24,3.37,,,,,,
292,,32.29,,1.19,-3.66,-1.25,-9.33,-3.23,3.52,,,,,,
293,,32.28,,1.40,-2.15,-1.79,-9.33,-3.03,3.10,,,,,,
294,2018:522684.000,,,,,,,,,,,,,,
295,2018:522684.000,32.28,,2.28,-3.30,-1.05,-9.00,-3.38,3.20,,,,,,
296,,32.28,,1.52,1.22,-3.87,-9.00,-3.33,3.00,,,,,,
297,,32.29,,-1.64,5.34,0.51,-9.06,-3.35,2.96,,,,,,
298,2018:522685.000,32.28,,-1.68,4.98,2.04,-9.13,-3.48,3.03,,,,,,
299,2018:522685.000,,,,,,,,,,,,,,
300,,32.30,,-0.11,5.29,-3.04,-9.04,-3.63,2.81,,,,,,
301,,32.30,,-3.15,6.34,8.82,-9.50,-3.69,3.36,,,,,,
302,2018:522686.000,32.27,,0.90,4.66,-4.00,-8.96,-3.65,2.81,,,,,,
303,2018:522686.000,,,,,,,,,,,,,,
304,2018:522686.000,32.29,,-1.63,3.76,8.10,-8.93,-3.59,3.17,,,,,,
305,,32.28,,-1.17,2.35,1.98,-9.09,-3.56,3.14,,,,,,
306,2018:522687.000,32.30,,-0.14,0.95,1.77,-9.27,-3.67,3.31,,,,,,
307,2018:522687.000,,,,,,,,,,,,,,
308,2018:522687.000,32.28,,-1.58,0.08,5.77,-9.15,-3.72,3.46,,,,,,
309,,32.29,,1.12,-1.87,-2.65,-8.95,-3.68,3.45,,,,,,
310,,32.28,,2.07,-2.13,-4.33,-8.92,-3.66,3.34,,,,,,
311,2018:522688.000,,,,,,,,,,,,,,
312,2018:522688.000,32.30,,0.03,-0.85,0.32,-9.43,-3.70,3.55,,,,,,
313,,32.31,,-1.14,-0.61,-1.89,-8.99,-3.19,3.12,,,,,,
